,corr
Inclusion,0.7755745050617819
Economy,0.7500629656602597
Economy Inclusion,0.6730748705937778
Labor Market Engagement Index Score,0.5530363650760987
Labor Market Engagement Index Tract,0.5466076593727172
"Internet Access Tract, %",0.5447555767024176
Internet Access Score,0.5323280354345846
Community,0.5004406547576027
,-0.49672028196188645
Minority/Women Owned Businesses Score,0.4814236833458242
Community Inclusion,0.4797042297610638
Health Insurance Coverage Score,0.4723896807915238
"Health Insurance Coverage Tract, %",0.47010060833816686
"Female Above Poverty Tract, %",0.4282466809607853
"Minority/Women Owned Businesses Tract, %",0.3569520253102301
Female Above Poverty Score,0.33875684417768603
Place Inclusion,0.31700744696562994
Gini Coefficient Score,0.31150618074981035
"Early Education Enrollment Tract, %",0.2577758403662706
Early Education Enrollment Score,0.25087950398582165
Gini Coefficient Tract,-0.21830961619644634
Growth,0.19223174896279882
"New Businesses Tract, %",0.18096607007781454
Spend Growth Score,0.17723520212159313
"Residential Real Estate Value Tract, %",-0.17488282012158524
Spending per Capita Score,0.17117850648289654
"Personal Income Tract, %",-0.1590178739318554
"Travel Time to Work Tract, %",0.15606044192563087
Year,0.1246955250972058
Community Growth,0.119869587304596
Travel Time to Work Score,0.11936568062833634
Economy Growth,0.10563877934098787
Affordable Housing Score,-0.09808230755160452
Net Occupancy Score,0.07168685515534928
Small Business Loans Score,0.0594154313667075
"Affordable Housing Tract, %",-0.059357467666143165
Residential Real Estate Value Score,0.050538978711508524
Place Growth,0.04192916515092943
"Net Occupancy Tract, %",0.031243422009772422
"Acres of Park Land Tract, %",-0.029191456548768306
Acres of Park Land Score,0.0260399209006648
"Small Business Loans Tract, %",-0.009657910417276505
Personal Income Score,0.009105486209720291
New Businesses Score,0.005651473162355617
